date,sound_level.value
11/27/2025 4:53:46.778000000 PM,3
11/27/2025 4:53:46.893000000 PM,3
11/27/2025 4:53:47.003000000 PM,3
11/27/2025 4:53:47.118000000 PM,3
11/27/2025 4:53:47.229000000 PM,3
11/27/2025 4:53:47.339000000 PM,3
11/27/2025 4:53:47.454000000 PM,3
11/27/2025 4:53:47.564000000 PM,4
11/27/2025 4:53:47.679000000 PM,2
11/27/2025 4:53:47.790000000 PM,3
11/27/2025 4:53:47.904000000 PM,3
11/27/2025 4:53:48.015000000 PM,3
11/27/2025 4:53:48.130000000 PM,3
11/27/2025 4:53:48.240000000 PM,3
11/27/2025 4:53:48.355000000 PM,3
11/27/2025 4:53:48.467000000 PM,3
11/27/2025 4:53:48.580000000 PM,3
11/27/2025 4:53:48.691000000 PM,3
11/27/2025 4:53:48.801000000 PM,3
11/27/2025 4:53:48.916000000 PM,3
11/27/2025 4:53:49.027000000 PM,3
11/27/2025 4:53:49.141000000 PM,4
11/27/2025 4:53:49.252000000 PM,3
11/27/2025 4:53:49.367000000 PM,4
11/27/2025 4:53:49.477000000 PM,4
11/27/2025 4:53:49.592000000 PM,4
11/27/2025 4:53:49.703000000 PM,3
11/27/2025 4:53:49.817000000 PM,3
11/27/2025 4:53:49.928000000 PM,3
11/27/2025 4:53:50.042000000 PM,3
11/27/2025 4:53:50.153000000 PM,3
11/27/2025 4:53:50.268000000 PM,3
11/27/2025 4:53:50.378000000 PM,3
11/27/2025 4:53:50.489000000 PM,3
11/27/2025 4:53:50.604000000 PM,3
11/27/2025 4:53:50.714000000 PM,3
11/27/2025 4:53:50.829000000 PM,3
11/27/2025 4:53:50.940000000 PM,3
11/27/2025 4:53:51.054000000 PM,3
11/27/2025 4:53:51.165000000 PM,3
11/27/2025 4:53:51.279000000 PM,3
11/27/2025 4:53:51.390000000 PM,3
11/27/2025 4:53:51.505000000 PM,3
11/27/2025 4:53:51.616000000 PM,3
11/27/2025 4:53:51.730000000 PM,3
11/27/2025 4:53:51.841000000 PM,3
11/27/2025 4:53:51.951000000 PM,3
11/27/2025 4:53:52.066000000 PM,3
11/27/2025 4:53:52.176000000 PM,3
11/27/2025 4:53:52.291000000 PM,3
11/27/2025 4:53:52.402000000 PM,3
11/27/2025 4:53:52.517000000 PM,4
11/27/2025 4:53:52.627000000 PM,2
11/27/2025 4:53:52.742000000 PM,3
11/27/2025 4:53:52.852000000 PM,3
11/27/2025 4:53:52.967000000 PM,3
11/27/2025 4:53:53.078000000 PM,3
11/27/2025 4:53:53.192000000 PM,3
11/27/2025 4:53:53.303000000 PM,3
11/27/2025 4:53:53.417000000 PM,3
11/27/2025 4:53:53.528000000 PM,3
11/27/2025 4:53:53.639000000 PM,3
11/27/2025 4:53:53.753000000 PM,3
11/27/2025 4:53:53.864000000 PM,3
11/27/2025 4:53:53.979000000 PM,3
11/27/2025 4:53:54.089000000 PM,4
11/27/2025 4:53:54.204000000 PM,3
11/27/2025 4:53:54.315000000 PM,4
11/27/2025 4:53:54.429000000 PM,3
11/27/2025 4:53:54.540000000 PM,3
11/27/2025 4:53:54.654000000 PM,3
11/27/2025 4:53:54.765000000 PM,3
11/27/2025 4:53:54.880000000 PM,4
11/27/2025 4:53:54.990000000 PM,3
11/27/2025 4:53:55.101000000 PM,3
11/27/2025 4:53:55.216000000 PM,3
11/27/2025 4:53:55.326000000 PM,3
11/27/2025 4:53:55.441000000 PM,3
11/27/2025 4:53:55.552000000 PM,4
11/27/2025 4:53:55.666000000 PM,3
11/27/2025 4:53:55.777000000 PM,3
11/27/2025 4:53:55.891000000 PM,3
11/27/2025 4:53:56.002000000 PM,3
11/27/2025 4:53:56.117000000 PM,3
11/27/2025 4:53:56.227000000 PM,3
11/27/2025 4:53:56.342000000 PM,3
11/27/2025 4:53:56.453000000 PM,3
11/27/2025 4:53:56.567000000 PM,2
11/27/2025 4:53:56.678000000 PM,3
11/27/2025 4:53:56.789000000 PM,3
11/27/2025 4:53:56.905000000 PM,3
11/27/2025 4:53:57.014000000 PM,3
11/27/2025 4:53:57.128000000 PM,3
11/27/2025 4:53:57.239000000 PM,4
11/27/2025 4:53:57.354000000 PM,3
11/27/2025 4:53:57.464000000 PM,3
11/27/2025 4:53:57.579000000 PM,3
11/27/2025 4:53:57.690000000 PM,3
11/27/2025 4:53:57.804000000 PM,3
11/27/2025 4:53:57.915000000 PM,3
11/27/2025 4:53:58.030000000 PM,3
11/27/2025 4:53:58.140000000 PM,3
11/27/2025 4:53:58.251000000 PM,4
11/27/2025 4:53:58.365000000 PM,3
11/27/2025 4:53:58.476000000 PM,3
11/27/2025 4:53:58.591000000 PM,3
11/27/2025 4:53:58.701000000 PM,3
11/27/2025 4:53:58.816000000 PM,3
11/27/2025 4:53:58.927000000 PM,4
11/27/2025 4:53:59.041000000 PM,3
11/27/2025 4:53:59.152000000 PM,3
11/27/2025 4:53:59.266000000 PM,3
11/27/2025 4:53:59.377000000 PM,3
11/27/2025 4:53:59.492000000 PM,2
11/27/2025 4:53:59.602000000 PM,2
11/27/2025 4:53:59.717000000 PM,4
11/27/2025 4:53:59.828000000 PM,3
11/27/2025 4:53:59.938000000 PM,3
11/27/2025 4:54:00.053000000 PM,3
11/27/2025 4:54:00.164000000 PM,3
11/27/2025 4:54:00.278000000 PM,2
11/27/2025 4:54:00.389000000 PM,3
11/27/2025 4:54:00.504000000 PM,3
11/27/2025 4:54:00.614000000 PM,3
11/27/2025 4:54:00.729000000 PM,4
11/27/2025 4:54:00.839000000 PM,3
11/27/2025 4:54:00.954000000 PM,3
11/27/2025 4:54:01.065000000 PM,4
11/27/2025 4:54:01.179000000 PM,3
11/27/2025 4:54:01.290000000 PM,3
11/27/2025 4:54:01.401000000 PM,3
11/27/2025 4:54:01.515000000 PM,3
11/27/2025 4:54:01.626000000 PM,3
11/27/2025 4:54:01.741000000 PM,3
11/27/2025 4:54:01.851000000 PM,4
11/27/2025 4:54:01.966000000 PM,3
11/27/2025 4:54:02.076000000 PM,3
11/27/2025 4:54:02.191000000 PM,3
11/27/2025 4:54:02.302000000 PM,3
11/27/2025 4:54:02.416000000 PM,4
11/27/2025 4:54:02.528000000 PM,4
11/27/2025 4:54:02.642000000 PM,3
11/27/2025 4:54:02.752000000 PM,3
11/27/2025 4:54:02.867000000 PM,3
11/27/2025 4:54:02.977000000 PM,3
